longvolume,shortvolume,change_2,change2,change_10,change_3,change,volume,change2x100,change_2x100,change_10x100,change_3x100,changex100,change_true,volume_t,change_2x1000
0,-26.43472,0.02158,-0.015156,-0.07918,0.043283,-0.069992,-26.434722,-1.515573,2.158034,-7.918027,4.328299,-6.999213,0,331,322
20.97,-19.32806,0.09121,-0.016321,-0.059598,0.038545,0.053709,1.644368,-1.632057,9.120996,-5.959776,3.854528,5.370915,0,331,391
19.66,-9.81716,0.118425,0.02158,0.011721,-0.048427,-0.032112,9.842917,2.158034,11.842462,1.172129,-4.842689,-3.211156,0,331,418
29.57,-1.60414,0.077697,0.09121,0.117572,0.144968,0.123361,27.96169,9.120996,7.769744,11.757205,14.496809,12.336113,1,331,378
32.54,-10.40648,0.150334,0.118425,0.093477,0.086275,-0.00493,22.136652,11.842462,15.033394,9.347709,8.627502,-0.493043,1,331,450
20.59,-0.85069,-0.076156,0.077697,0.197263,0.201154,0.082632,19.741943,7.769744,-7.615569,19.726314,20.115442,8.263195,0,331,224
28.53,-2.68866,-0.09275,0.150334,0.289398,0.145396,0.067646,25.837532,15.033394,-9.275039,28.93976,14.539609,6.76461,1,331,207
0,-28.8644,0.09878,-0.076156,0.189799,0.006413,-0.143017,-28.864404,-7.615569,9.877961,18.97992,0.641333,-14.301699,0,331,399
21.18,-0.00305,0.037459,-0.092062,0.182369,-0.025167,0.046112,21.177903,-9.206245,3.745853,18.236939,-2.516704,4.611213,0,331,337
15.19,-11.14534,-0.050323,0.093862,0.175213,-0.044379,0.047728,4.046821,9.386188,-5.032272,17.521323,-4.437865,4.772775,1,331,250
2.23,-16.04489,-0.067069,0.037459,0.235088,0.083588,-0.010282,-13.814221,3.745853,-6.70694,23.50876,8.358793,-1.028154,0,331,233
0.63,-22.80048,0.01935,-0.05034,0.141146,-0.002619,-0.04008,-22.173665,-5.033994,1.935006,14.114594,-0.2619,-4.007973,0,331,319
19.35,-12.57228,0.026956,-0.067087,0.146249,-0.077344,-0.027,6.777553,-6.708662,2.695607,14.624862,-7.734405,-2.700049,0,331,327
20.57,-0.01304,-0.044946,0.019367,0.06925,-0.020737,0.04638,20.553149,1.936729,-4.494616,6.925019,-2.073743,4.63803,0,331,255
2.16,-18.7415,0.060738,0.026956,0.054755,-5.2E-05,-0.019415,-16.585602,2.695607,6.07382,5.475466,-0.00517,-1.941522,0,331,361
4.31,-12.72457,0.016804,-0.044946,-0.053383,0.001413,-0.025553,-8.411593,-4.494616,1.680422,-5.338305,0.14133,-2.555312,0,331,317
26.83,0,0.006854,0.060721,-0.034067,0.041311,0.086313,26.832698,6.072096,0.685365,-3.406724,4.131119,8.631338,0,331,307
